Corporate Name,Corporation Number,Business Number
GS1 Canada,334495-9,890373764RC0001
Onco1 Med Spa Clinic,1694263-6,700773427RC0001
Royal Canadian #1 Cricket Club,1707560-0,754149367RC0001
1KALAMEH CORP.,1712875-4,785778036RC0001
10 Gates Dancing Inc.,349359-8,869214486RC0001
10Academy Canada Foundation,1614051-3,728636754RC0001
Fire10 Entertainment,1357826-7,761677103RC0001
MY 100 PERCENT,873862-9,814420238RC0001
100 STRONG FOUNDATION,880022-7,815979034RC0001
100 Smiles Project,897715-1,801247974RC0001
ONTARIO GLOBAL 100,912901-4,810719997RC0001
Genius 100 Foundation,1117571-8,717407514RC0001
100 Gates Foundation,1131226-0,886837996RC0001
100 NOTEBOOK PROJECT,1158430-8,774556336RC0001
Commission of Marking the 100th Anniversary of Chinese Exclusion Act,1498407-2,755495215RC0001
100 Women Who Care Kirkland Lake and Area,1534743-2,728266610RC0001
Resilient 100,1011623-8,726991128RC0001
100 Black Men,1201541-2,737235135RC0001
The Historic 1000 Islands Village Foundation,312193-3,898149463RC0001
"10,000 Meals Challenge Inc.",1743169-4,726103161RC0001
10002798 CANADA FOUNDATION,1000279-8,739765329RC0001
1001 THEATRE,989766-6,752259523RC0001
1001World Foundation,1595129-1,780689626RC0001
10019577 Canada Association,1001957-7,738550490RC0001
10047724 CANADA SOCIETY,1004772-4,734775323RC0001
10058688 CANADA SOCIETY,1005868-8,733142293RC0001
C101 Association,1414837-1,717685200RC0001
Integration 101 Hub,1525414-1,796903151RC0001
10104426 CANADA ASSOCIATION,1010442-6,729377291RC0001
10112402 Canada Institute,1011240-2,727467326RC0001
10126306 Canada Fondation,1012630-6,725750327RC0001
10132861 Canada Association,1013286-1,726113293RC0001
10153583 CANADA FOUNDATION,1015358-3,723695698RC0001
10196916 CANADA ASSOCIATION,1019691-6,718904691RC0001
CCST 180-102 Inc.,1669434-9,722357225RC0001
10209627 CANADA ASSOCIATION,1020962-7,716747720
10224570 CANADA FOUNDATION,1022457-0,716033097RC0001
10232050 CANADA ASSOCIATION,1023205-0,714190923RC0001
10242594 CANADA ASSOCIATION,1024259-4,712877323RC0001
10251488 Canada Center,1025148-8,712913698RC0001
10257800 Canada Foundation,1025780-0,712167691RC0001
10289124 Canada Centre,1028912-4,707668729RC0001
10311421 Canada Centre,1031142-1,704959725RC0001
10323519 CANADA FOUNDATION,1032351-9,703545525RC0001
1033,1224141-2,Not Available
10360112 CANADA INSTITUTE,1036011-2,799937883RC0001
10363987 Canada Association,1036398-7,798900486RC0001
10389919 CANADA INSTITUTE,1038991-9,795198514RC0001
10395463 Canada Center,1039546-3,795836683RC0001
10410306 CANADA ASSOCIATION,1041030-6,793331117RC0001
10427632 Canada Centre,1042763-2,792067688
10450367 CANADA ASSOCIATION,1045036-7,766701510RC0001
10456799 Canada Association,1045679-9,787314889RC0001
10485888 Canada Association,1048588-8,785481714RC0001
10487708 CANADA ASSOCIATION,1048770-8,784949117RC0001
10490857 Canada Foundation,1049085-7,785561887RC0001
10491934 Canada Society,1049193-4,785403080RC0001
10494305 CANADA CENTER,1049430-5,784504110RC0001
10503932 Canada Foundation,1050393-2,783691314RC0001
10519189 CANADA FOUNDATION,1051918-9,781809512RC0001
10551040 CANADA INSTITUT,1055104-0,773768916RC0001
10580155 CANADA ASSOCIATION,1058015-5,775221112RC0001
LIUNA Local 1059 Optical Centre Inc.,972975-5,771668928RC0001
10591971 CANADA CENTRE,1059197-1,773930912RC0001
10602876 CANADA INSTITUTE,1060287-6,773310883RC0001
10631051 Canada Foundation,1063105-1,770343085RC0001
10638552 Canada Foundation,1063855-2,769142118RC0001
10655490 CANADA ASSOCIATION,1065549-0,767373715RC0001
10663336 Canada Association,1066333-6,767085681RC0001
CCST 180-107 Inc.,1669431-4,785084765RC0001
10713759 CANADA ASSOCIATION,1071375-9,761894682RC0001
10722189 CANADA CENTRE,1072218-9,759874886RC0001
10728969 Canada Association,1072896-9,759654718RC0001
10765317 Canada Institute,1076531-7,756534681RC0001
10769142 CANADA INSTITUTE,1076914-2,755153111RC0001
10787671 Canada Association,1078767-1,754110088RC0001
108 HEALTH PROMOTION ASSOCIATION,944123-9,803610161RC0001
10820890 Canada Association,1082089-0,750095887RC0001
10832715 CANADA FOUNDATION,1083271-5,741200711RC0001
10839086 CANADA FOUNDATION,1083908-6,748753514RC0001
10852686 CANADA CENTRE,1085268-6,748399888RC0001
10864404 Canada Centre,1086440-4,736067885RC0001
10867802 Canada Association,1086780-2,746793488RC0001
10888648 Canada Fondation,1088864-8,744759085RC0001
10901989 CANADA SOCIETY,1090198-9,741558118RC0001
10903418 Canada Association,1090341-8,742254311RC0001
10934038 Canada Foundation,1093403-8,741353882RC0001
109354 Association Canada Inc.,118436-9,108076514RC0001
10942693 CANADA ASSOCIATION,1094269-3,740429287RC0001
10945579 CANADA ASSOCIATION,1094557-9,738948918RC0001
10946117 Canada Association,1094611-7,738962919RC0001
10951684 Canada Center,1095168-4,738359710RC0001
10952575 Canada Foundation,1095257-5,738321918RC0001
10955906 CANADA CENTRE,1095590-6,738834886RC0001
10972037 CANADA CENTRE,1097203-7,737313486RC0001
10979155 CANADA SOCIETY,1097915-5,735783318RC0001
10990671 Canada Association,1099067-1,731978714RC0001
The Remember November 11 Association,451634-6,803351097RC0001
HOUSE OF REST 11:28,1078016-2,754803088RC0001
11:11 Charitable Foundation,1199030-6,739001337RC0001
Matthew 11:28 Foundation,1740768-8,763688637RC0001
11011600 CANADA FOUNDATION,1101160-0,732565312RC0001
11019406 CANADA SOCIETY,1101940-6,731865119RC0001
11019872 Canada Foundation,1101987-2,731874517RC0001
11041550 CANADA FOUNDATION,1104155-0,723149084RC0001
11051709 Canada Association,1105170-9,728750712RC0001
11052527 Canada Association,1105252-7,729852483RC0001
11095226 CANADA FOUNDATION,1109522-6,725902886RC0001
11130455 Canada Centre,1113045-5,719765315RC0001
11131397 CANADA ASSOCIATION,1113139-7,714074515RC0001
11168878 CANADA FOUNDATION,1116887-8,717881510RC0001
11188585 CANADA ASSOCIATION,1118858-5,717475289RC0001
11192817 Canada Foundation,1119281-7,716803689RC0001
11194844 CANADA INSTITUTE,1119484-4,714674710RC0001
11197240 CANADA ASSOCIATION,1119724-0,715450714
11205471 CANADA FOUNDATION,1120547-1,714505914RC0001
11248006 CANADA FOUNDATION,1124800-6,710516519RC0001
11254987 Canada Society,1125498-7,710809880RC0001
11270664 Canada Association,1127066-4,709455489RC0001
11296469 CANADA SOCIETY,1129646-9,706593480RC0001
11300075 Canada Association,1130007-5,705114312RC0001
11303406 CANADA ASSOCIATION,1130340-6,704774918RC0001
11330462 Canada Association,1133046-2,703239483RC0001
11341219 Canada Society,1134121-9,702029281RC0001
11343122 CANADA ASSOCIATION,1134312-2,799961073RC0001
11346652 CANADA CENTER,1134665-2,799959333RC0001
11349821 Canada Centre,1134982-1,799741475RC0001
11356151 CANADA ASSOCIATION,1135615-1,799398870RC0001
11359886 Canada Foundation,1135988-6,799352471RC0001
11362950 CANADA CENTRE,1136295-0,799005277RC0001
11365355 CANADA ASSOCIATION,1136535-5,798770079RC0001
11365401 CANADA INSTITUTE,1136540-1,798777678RC0001
11365452 CANADA ASSOCIATION,1136545-2,797905536RC0001
11371304 CANADA FOUNDATION,1137130-4,798001871RC0001
11376187 CANADA ASSOCIATION,1137618-7,797569670RC0001
11391747 Canada Foundation,1139174-7,795755479RC0001
11392468 Canada Association,1139246-8,794901132RC0001
11437119 Canada Association,1143711-9,790179931RC0001
11452924 Canada Association,1145292-4,789146677RC0001
11471279 CANADA ASSOCIATION,1147127-9,785727934RC0001
11475541 Canada Foundation,1147554-1,786169672RC0001
11475860 Canada Institut,1147586-0,786012278RC0001
11476378 CANADA ASSOCIATION,1147637-8,785220336RC0001
11477188 Canada Association,1147718-8,785191735RC0001
11477285 CANADA FOUNDATION,1147728-5,783628472RC0001
11477498 CANADA ASSOCIATION,1147749-8,784483539RC0001
11500384 Canada Association,1150038-4,782962476RC0001
11504690 CANADA FOUNDATION,1150469-0,782492474RC0001
11506358 Canada Association,1150635-8,782462279RC0001
11512862 Canada Foundation,1151286-2,781054937RC0001
11555383 CANADA SOCIETY,1155538-3,777246471RC0001
11558978 CANADA FOUNDATION,1155897-8,776938532RC0001
11568957 CANADA CENTER,1156895-7,776745879RC0001
11575201 Canada Association,1157520-1,776116477RC0001
11582879 CANADA SOCIETY,1158287-9,774754139RC0001
11595474 CANADA CENTRE,1159547-4,774260079RC0001
11603442 Canada Foundation,1160344-2,772759338RC0001
11612760 Canada Association,1161276-0,881198063RC0001
11622102 Canada Association,1162210-2,771272135RC0001
11634682 Canada Center,1163468-2,770725679RC0001
11635255 CANADA ASSOCIATION,1163525-5,770702272RC0001
11637789 CANADA ASSOCIATION,1163778-9,770444479RC0001
11653601 Canada Foundation,1165360-1,754581270RC0001
11661183 CANADA ASSOCIATION,1166118-3,768278079RC0001
11678574 Canada Society,1167857-4,766388870
11711997 Canada Association,1171199-7,760607531RC0001
11731122 CANADA FOUNDATION,1173112-2,762305274RC0001
11738518 CANADA CENTER,1173851-8,761762277RC0001
11740377 CANADA CENTRE,1174037-7,758047674RC0001
11761218 CANADA ASSOCIATION,1176121-8,751395070RC0001
11769049 CANADA FONDATION,1176904-9,758989479RC0001
11769120 CANADA FOUNDATION,1176912-0,758410336RC0001
11794370 CANADA FOUNDATION,1179437-0,732840277RC0001
11823302 CANADA FOUNDATION,1182330-2,754179877RC0001
11826379 CANADA INSTITUTE,1182637-9,751648338RC0001
11849794 Canada Foundation,1184979-4,751163734RC0001
11867130 CANADA FOUNDATION,1186713-0,748701133RC0001
11872745 Canada Association,1187274-5,726821531RC0001
11877194 CANADA INSTITUTE,1187719-4,748731338RC0001
11893955 CANADA ASSOCIATION,1189395-5,747896074RC0001
11909606 Canada Association,1190960-6,746061738RC0001
11910418 CANADA FOUNDATION,1191041-8,746040534RC0001
11914472 Canada Society,1191447-2,746032879RC0001
11916343 CANADA SOCIETY,1191634-3,742955933RC0001
11916971 Canada Institute,1191697-1,745344333RC0001
11917587 Canada Association,1191758-7,745745877RC0001
11920545 Canada Foundation,1192054-5,745515676RC0001
11920901 CANADA INSTITUTE,1192090-1,745502070RC0001
11921118 CANADA CENTRE,1192111-8,744941931RC0001
11928023 Canada Center,1192802-3,741732135RC0001
11934821 Canada Foundation,1193482-1,744128075RC0001
11946056 Canada Society,1194605-6,742360472RC0001
11949055 CANADA CENTRE,1194905-5,742349079RC0001
11959433 CANADA FOUNDATION,1195943-3,741504674RC0001
11963104 CANADA FOUNDATION,1196310-4,739538932RC0001
11989294 CANADA ASSOCIATION,1198929-4,739086130RC0001
11997068 Canada Association,1199706-8,738816677RC0001
11999028 CANADA FOUNDATION,1199902-8,738195130RC0001
BAY12 Art Centers,1510259-6,708769948RC0001
DRC No.12 Foundation,1654712-5,797458767RC0001
12:12 Faith Association,1685690-0,771133360RC0001
12003031 Canada Centre,1200303-1,737901876RC0001
12013746 Canada Association,1201374-6,736210535RC0001
12022958 CANADA INSTITUTE,1202295-8,736812330RC0001
12026406 CANADA ASSOCIATION,1202640-6,736518135RC0001
12053683 Canada Foundation,1205368-3,735164477RC0001
12067498 Canada Association,1206749-8,733963730RC0001
12075725 CANADA INSTITUTE,1207572-5,733491278RC0001
12078252 Canada Institute,1207825-2,733241871RC0001
12095700 CANADA FONDATION,1209570-0,732061270RC0001
12107864 CANADA FOUNDATION,1210786-4,730723335RC0001
12108500 CANADA CENTER,1210850-0,731051678RC0001
12110598 CANADA FOUNDATION,1211059-8,725958672RC0001
12117851 CANADA ASSOCIATION,1211785-1,725603070RC0001
12125684 CANADA FOUNDATION,1212568-4,729392472RC0001
12129949 CANADA ASSOCIATION,1212994-9,729238477RC0001
12130343 CANADA ASSOCIATION,1213034-3,728967332RC0001
12154323 CANADA FOUNDATION,1215432-3,727316135RC0001
12155095 Canada Association,1215509-5,727208738RC0001
12167701 Canada Association,1216770-1,726327737RC0001
12182718 CANADA FOUNDATION,1218271-8,725372478RC0001
12184826 Canada Foundation,1218482-6,724590138RC0001
12221071 CANADA CENTER,1222107-1,722031879RC0001
12225727 Canada Institut,1222572-7,721616134RC0001
12228572 CANADA ASSOCIATION,1222857-2,721366532RC0001
12242362 Canada Association,1224236-2,719945131RC0001
12248531 Canada Foundation,1224853-1,719592131RC0001
12276925 Canada Center,1227692-5,717210876RC0001
123 TORONTO,934247-8,816183560RC0001
Francais 123 French,1485416-1,761787019RC0001
12300397 CANADA INSTITUTE,1230039-7,713696136RC0001
12314673 CANADA CENTER,1231467-3,714104130RC0001
12316528 Canada Foundation,1231652-8,713925873RC0001
12318164 Canada Association,1231816-4,713858074RC0001
12344513 CANADA FOUNDATION,1234451-3,711715870RC0001
12346834 Canada Association,1234683-4,711849133RC0001
12354799 CANADA ASSOCIATION,1235479-9,711049072RC0001
12368331 CANADA ASSOCIATION,1236833-1,710225137RC0001
12381486 Canada Centre,1238148-6,709235535RC0001
12384388 Canada Association,1238438-8,Not Available
12384426 Canada Association,1238442-6,859421166RC0001
124 Youth Leadership,1598182-4,741290555RC0001
12400103 CANADA SOCIETY,1240010-3,707787735RC0001
12409755 CANADA FOUNDATION,1240975-5,707187936RC0001
12426633 CANADA ASSOCIATION,1242663-3,705359479RC0001
12434067 Canada Institute,1243406-7,705050474RC0001
124678 Association Canada Inc.,159506-7,Not Available
12483998 Canada Association,1248399-8,701431934RC0001
12484838 CANADA ASSOCIATION,1248483-8,700936677RC0001
12485222 Canada Association,1248522-2,701157331RC0001
12489252 CANADA ASSOCIATION,1248925-2,799458948RC0001
12490587 Canada Centre,1249058-7,700185077RC0001
12490625 Canada Institute,1249062-5,700857535RC0001
12517230 Canada Centre,1251723-0,798040143RC0001
12530457 Canada Foundation,1253045-7,796972065RC0001
12540886 Canada Center,1254088-6,796274348RC0001
12549638 Canada Association,1254963-8,795536549RC0001
12557258 CANADA ASSOCIATION,1255725-8,794916148RC0001
12557878 CANADA ASSOCIATION,1255787-8,794845941RC0001
12566028 CANADA ASSOCIATION,1256602-8,793876665RC0001
12575019 Canada Center,1257501-9,793343542RC0001
12575663 CANADA ASSOCIATION,1257566-3,793209263RC0001
12580748 CANADA ASSOCIATION,1258074-8,792885147RC0001
12589443 Canada Fondation,1258944-3,792203945RC0001
12598167 Canada Centre,1259816-7,790986541RC0001
12609037 Canada Society,1260903-7,790948145RC0001
12614413 CANADA SOCIETY,1261441-3,790490866RC0001
12617994 CANADA FOUNDATION,1261799-4,790111744RC0001
12629453 Canada Centre,1262945-3,788987063RC0001
12631296 Canada Foundation,1263129-6,788409340RC0001
12635593 Canada Association,1263559-3,788919264RC0001
12635658 Canada Centre,1263565-8,789091741RC0001
12638827 CANADA FOUNDATION,1263882-7,789044542RC0001
12639203 CANADA ASSOCIATION,1263920-3,788758068RC0001
12647516 CANADA INSTITUTE,1264751-6,788079069RC0001
12656299 Canada Association,1265629-9,786971861RC0001
12660393 Canada Institute,1266039-3,786965749RC0001
12662906 CANADA SOCIETY,1266290-6,786555268RC0001
12668548 CANADA CENTRE,1266854-8,786403741RC0001
12679779 Canada Foundation,1267977-9,785090861RC0001
12695995 CANADA FOUNDATION,1269599-5,784111742RC0001
12698455 CANADA INSTITUTE,1269845-5,783827744RC0001
12698749 Canada Society,1269874-9,784054744RC0001
12709481 CANADA ASSOCIATION,1270948-1,783627144RC0001
12711583 Canada Association,1271158-3,782514541RC0001
12715139 CANADA SOCIETY,1271513-9,782496467RC0001
12717255 Canada Association,1271725-5,777571464RC0001
12731045 Canada Centre,1273104-5,782163141RC0001
12731266 Canada Foundation,1273126-6,781578661RC0001
12736772 Canada Foundation,1273677-2,780954467RC0001
12741539 Canada Institute,1274153-9,781295340RC0001
12744783 CANADA SOCIETY,1274478-3,780425948RC0001
12746018 CANADA CENTRE,1274601-8,777573866RC0001
12762862 Canada Foundation,1276286-2,778859868RC0001
12766795 CANADA ASSOCIATION,1276679-5,778667147RC0001
12772868 CANADA CENTRE,1277286-8,778054346RC0001
12779412 CANADA FOUNDATION,1277941-2,776144461RC0001
12786842 CANADA ASSOCIATION,1278684-2,774993265RC0001
12787342 CANADA FOUNDATION,1278734-2,775809460RC0001
12788501 Canada Foundation,1278850-1,776967341RC0001
12790360 Canada Foundation,1279036-0,776379869RC0001
12797470 CANADA FOUNDATION,1279747-0,776334948RC0001
12799481 CANADA FOUNDATION,1279948-1,762176543RC0001
12808382 CANADA FOUNDATION,1280838-2,774703664RC0001
12835487 CANADA ASSOCIATION,1283548-7,770720266RC0001
12839687 CANADA FOUNDATION,1283968-7,771436748RC0001
12840596 Canada Institute,1284059-6,768924540RC0001
12843218 CANADA ASSOCIATION,1284321-8,770361863RC0001
12844214 Canada Foundation,1284421-4,770434868RC0001
12846047 Canada Foundation,1284604-7,770599868RC0001
12860121 Canada Association,1286012-1,770162063RC0001
12865041 CANADA FOUNDATION,1286504-1,768962862RC0001
12871912 Canada Foundation,1287191-2,769952144RC0001
12873320 Canada Association,1287332-0,769963349RC0001
12874059 Canada Foundation,1287405-9,769973348RC0001
12882639 Canada Institute,1288263-9,768202061RC0001
12886863 CANADA FOUNDATION,1288686-3,768532749RC0001
12898632 Canada Foundation,1289863-2,767027261RC0001
12902001 Canada Foundation,1290200-1,767377542RC0001
12903792 CANADA ASSOCIATION,1290379-2,767633340RC0001
12905612 CANADA SOCIETY,1290561-2,766268064RC0001
12911965 Canada Foundation,1291196-5,765968268RC0001
12914271 CANADA ASSOCIATION,1291427-1,765400064RC0001
12919125 CANADA ASSOCIATION,1291912-5,765408869RC0001
12926253 CANADA SOCIETY,1292625-3,765303946RC0001
12927071 Canada Association,1292707-1,766172944RC0001
12933136 Canada Foundation,1293313-6,765555347RC0001
12937395 Canada Foundation,1293739-5,763195468RC0001
12962462 Canada Centre,1296246-2,763253341RC0001
12968592 CANADA CENTER,1296859-2,762869345RC0001
12975271 Canada Foundation,1297527-1,761225267RC0001
12975840 Canada Foundation,1297584-0,760971465RC0001
12978628 Canada Association,1297862-8,760820464RC0001
12980185 CANADA SOCIETY,1298018-5,760797746RC0001
12980339 Canada Society,1298033-9,760827865RC0001
12981114 Canada Foundation,1298111-4,761659747RC0001
12985187 Canada Institute,1298518-7,761411545RC0001
12994267 Canada Foundation,1299426-7,760883744RC0001
ACTS 13 CHRISTIAN MINISTRIES,348686-9,892342429RC0001
13th Round Fight for Life,1294919-9,763323268RC0001
AH13 Foundation,1494336-8,720504141RC0001
13001652 CANADA SOCIETY,1300165-2,760323147RC0001
13002101 CANADA INC.,1300210-1,797880200RC0001
13008169 Canada Foundation,1300816-9,759384340RC0001
13010261 CANADA ASSOCIATION,1301026-1,799921705RC0001
13010937 Canada Foundation,1301093-7,799771506RC0001
13018733 Canada Foundation,1301873-3,799224506RC0001
13035417 CANADA FOUNDATION,1303541-7,798834404RC0001
13051722 Canada Centre,1305172-2,797339207RC0001
13058751 Canada Institute,1305875-1,796897809RC0001
13079023 Canada Association,1307902-3,795792506RC0001
13101541 Canada Center,1310154-1,794006205RC0001
13103218 Canada Centre,1310321-8,794099903RC0001
13103463 Canada Foundation,1310346-3,793964206RC0001
13103781 Canada Foundation,1310378-1,793964008RC0001
13105326 CANADA ASSOCIATION,1310532-6,793696808RC0001
13121623 Canada Association,1312162-3,792524407RC0001
13131408 CANADA FOUNDATION,1313140-8,791475908RC0001
13139603 Canada Association,1313960-3,779280601RC0001
13144062 CANADA ASSOCIATION,1314406-2,790852404RC0001
13146430 Canada Foundation,1314643-0,790642706RC0001
13196321 CANADA ASSOCIATION,1319632-1,777542705RC0001
13210693 Canada Foundation,1321069-3,786344705RC0001
13218147 Canada Foundation,1321814-7,785733601RC0001
13222811 Canada Center,1322281-1,785076407RC0001
13223701 Canada Institute,1322370-1,785353608RC0001
13234169 Canada Foundation,1323416-9,784813701RC0001
13237729 CANADA CENTER,1323772-9,784477903RC0001
13255425 Canada Society,1325542-5,783413701RC0001
13258211 Canada Foundation,1325821-1,783215304RC0001
13273199 CANADA CENTRE,1327319-9,782068209RC0001
13297063 CANADA ASSOCIATION,1329706-3,780707105RC0001
13315878 Canada Foundation,1331587-8,779185602RC0001
13316238 Canada Association,1331623-8,779192400RC0001
13337685 Canada Association,1333768-5,777747205RC0001
13359751 Canada Society,1335975-1,776402604RC0001
13379256 Canada Association,1337925-6,775419104RC0001
13383881 CANADA CENTRE,1338388-1,774502108RC0001
13385728 CANADA FOUNDATION,1338572-8,774526602RC0001
13385914 Canada Foundation,1338591-4,774928303RC0001
13390365 CANADA ASSOCIATION,1339036-5,774124606RC0001
13404552 CANADA ASSOCIATION,1340455-2,773229406RC0001
13412571 CANADA CENTER,1341257-1,772705000RC0001
13418456 CANADA SOCIETY,1341845-6,772830105RC0001
13440168 Canada Foundation,1344016-8,771355104RC0001
13444473 CANADA FOUNDATION,1344447-3,771101904RC0001
13458326 CANADA FOUNDATION,1345832-6,770102507RC0001
13469085 Canada Foundation,1346908-5,768570608RC0001
13476138 Canada Association,1347613-8,768056400RC0001
13480666 Canada Association,1348066-6,768288102RC0001
13482685 Canada Foundation,1348268-5,767640402RC0001
13500136 Canada Foundation,1350013-6,766217202RC0001
13501094 Canada Society,1350109-4,766421200RC0001
13506096 CANADA ASSOCIATION,1350609-6,765933809RC0001
13508960 CANADA ASSOCIATION,1350896-0,766292700RC0001
13513955 CANADA ASSOCIATION,1351395-5,766252506RC0001
13521800 Canada Foundation,1352180-0,765703301RC0001
13539288 CANADA SOCIETY,1353928-8,763764701RC0001
13549461 CANADA ASSOCIATION,1354946-1,762969202RC0001
13552314 CANADA FOUNDATION,1355231-4,763652906RC0001
13553159 Canada Association,1355315-9,763624509RC0001
13573281 CANADA FOUNDATION,1357328-1,760302604RC0001
13576051 Canada Institute,1357605-1,761037407RC0001
13583368 Canada Institute,1358336-8,761346907RC0001
13583465 Canada Institute,1358346-5,761346709RC0001
13599299 Canada Society,1359929-9,758437404RC0001
13599876 Canada Institute,1359987-6,759619000RC0001
13600815 Canada Foundation,1360081-5,760344705RC0001
13608867 Canada Association,1360886-7,754205904RC0001
13608948 Canada Institute,1360894-8,758965800RC0001
13612040 CANADA FOUNDATION,1361204-0,759439706RC0001
13619885 CANADA CENTER,1361988-5,758005607RC0001
13626873 Canada Association,1362687-3,758367502RC0001
13629988 Canada Association,1362998-8,757478805RC0001
13642992 CANADA FOUNDATION,1364299-2,757511506RC0001
13697614 Canada Fondation,1369761-4,750708802RC0001
13703983 Canada Foundation,1370398-3,752271809RC0001
13704611 Canada Association,1370461-1,753185305RC0001
13705161 CANADA ASSOCIATION,1370516-1,751460304RC0001
13709680 Canada Association,1370968-0,752869701RC0001
13725162 CANADA INSTITUTE,1372516-2,750744005RC0001
13728412 Canada Society,1372841-2,Not Available
13760235 Canada Association,1376023-5,749224705RC0001
13766918 Canada Foundation,1376691-8,747889004RC0001
13772861 CANADA CENTER,1377286-1,747363208RC0001
13775666 CANADA SOCIETY,1377566-6,748303708RC0001
13787028 CANADA FOUNDATION,1378702-8,746379403RC0001
13800644 CANADA ASSOCIATION,1380064-4,746448307RC0001
13803210 Canada Centre,1380321-0,745301002RC0001
13809412 CANADA ASSOCIATION,1380941-2,745807701RC0001
13813878 Canada Foundation,1381387-8,744169608RC0001
13833712 Canada Center,1383371-2,743764508RC0001
13839966 Canada Institute,1383996-6,742516008RC0001
13840832 Canada Center,1384083-2,742417603RC0001
13842622 CANADA FOUNDATION,1384262-2,742764509RC0001
13843734 CANADA ASSOCIATION,1384373-4,743085904RC0001
13848051 Canada Foundation,1384805-1,741779409RC0001
13853381 Canada Association,1385338-1,742410301RC0001
13863191 Canada Foundation,1386319-1,740639604RC0001
13863255 Canada Centre,1386325-5,741719306RC0001
13865291 CANADA CENTRE,1386529-1,741570105RC0001
13865606 Canada Foundation,1386560-6,741569701RC0001
13866831 Canada Foundation,1386683-1,741402507RC0001
13867081 Canada Association,1386708-1,738717008RC0001
13884104 Canada Foundation,1388410-4,739726701RC0001
13889751 Canada Foundation,1388975-1,737966200RC0001
13894240 Canada Center,1389424-0,737457408RC0001
13901092 CANADA FOUNDATION,1390109-2,736726407RC0001
13902561 Canada Foundation,1390256-1,737677302RC0001
13904504 Canada Foundation,1390450-4,737453506RC0001
13905632 Canada Foundation,1390563-2,737362905RC0001
13905691 Canada Foundation,1390569-1,737392704RC0001
13906167 Canada Foundation,1390616-7,736199605RC0001
13907970 Canada Foundation,1390797-0,736124009RC0001
13907988 Canada Foundation,1390798-8,736123803RC0001
13908216 Canada Foundation,1390821-6,737045708RC0001
13908259 Canada Foundation,1390825-9,735978009RC0001
13912493 CANADA SOCIETY,1391249-3,733298806RC0001
13917070 Canada Foundation,1391707-0,735744708RC0001
13917151 Canada Foundation,1391715-1,735744500RC0001
13921221 Canada Foundation,1392122-1,735715104RC0001
13922804 Canada Society,1392280-4,735715500RC0001
13923789 Canada Foundation,1392378-9,735453102RC0001
13936414 Canada Society,1393641-4,733508402RC0001
13938085 Canada Foundation,1393808-5,732938808RC0001
13938191 Canada Foundation,1393819-1,732939004RC0001
13938221 Canada Foundation,1393822-1,733826101RC0001
13938247 Canada Foundation,1393824-7,734002702RC0001
13938263 Canada Foundation,1393826-3,732938600RC0001
13938310 Canada Foundation,1393831-0,734002504RC0001
13938344 Canada Foundation,1393834-4,732938402RC0001
13938352 Canada Foundation,1393835-2,734139900RC0001
13938361 Canada Foundation,1393836-1,733825905RC0001
