Corporate Name,Corporation Number,Business Number
11477188 Canada Association,1147718-8,785191735RC0001
11477285 CANADA FOUNDATION,1147728-5,783628472RC0001
11477498 CANADA ASSOCIATION,1147749-8,784483539RC0001
11500384 Canada Association,1150038-4,782962476RC0001
11501178 CANADA FOUNDATION,1150117-8,782208334RC0001
11504690 CANADA FOUNDATION,1150469-0,782492474RC0001
11506358 Canada Association,1150635-8,782462279RC0001
11512862 Canada Foundation,1151286-2,781054937RC0001
11514440 Canada Association,1151444-0,780981734RC0001
11548638 Canada Center,1154863-8,778570077RC0001
11549073 CANADA FONDATION,1154907-3,777807132RC0001
11555383 CANADA SOCIETY,1155538-3,777246471RC0001
11557041 Canada Foundation,1155704-1,775488471RC0001
11558978 CANADA FOUNDATION,1155897-8,776938532RC0001
11568957 CANADA CENTER,1156895-7,776745879RC0001
11569066 CANADA ASSOCIATION,1156906-6,776026130RC0001
11575201 Canada Association,1157520-1,776116477RC0001
11582879 CANADA SOCIETY,1158287-9,774754139RC0001
11595474 CANADA CENTRE,1159547-4,774260079RC0001
11603442 Canada Foundation,1160344-2,772759338RC0001
11612760 Canada Association,1161276-0,881198063RC0001
11622102 Canada Association,1162210-2,771272135RC0001
11634682 Canada Center,1163468-2,770725679RC0001
11635255 CANADA ASSOCIATION,1163525-5,770702272RC0001
11635956 Canada Association,1163595-6,747159275RC0001
11637789 CANADA ASSOCIATION,1163778-9,770444479RC0001
11653601 Canada Foundation,1165360-1,754581270RC0001
11661183 CANADA ASSOCIATION,1166118-3,768278079RC0001
11662414 Canada Foundation,1166241-4,768028672RC0001
11663542 Canada Institute,1166354-2,768037475RC0001
11678574 Canada Society,1167857-4,766388870
116806 ASSOCIATION CANADA INC.,134888-4,141012625RC0001
11680943 Canada Foundation,1168094-3,766280879
11689991 Canada Association,1168999-1,765218334RC0001
11711997 Canada Association,1171199-7,760607531RC0001
11731122 CANADA FOUNDATION,1173112-2,762305274RC0001
11738518 CANADA CENTER,1173851-8,761762277RC0001
11740377 CANADA CENTRE,1174037-7,758047674RC0001
11742060 Canada Institute,1174206-0,761328079RC0001
11755714 CANADA ASSOCIATION,1175571-4,760211276RC0001
11761218 CANADA ASSOCIATION,1176121-8,751395070RC0001
11768310 CANADA ASSOCIATION,1176831-0,759015472RC0001
11769049 CANADA FONDATION,1176904-9,758989479RC0001
11769120 CANADA FOUNDATION,1176912-0,758410336RC0001
11794370 CANADA FOUNDATION,1179437-0,732840277RC0001
11807188 CANADA ASSOCIATION,1180718-8,754886133RC0001
11823302 CANADA FOUNDATION,1182330-2,754179877RC0001
11826379 CANADA INSTITUTE,1182637-9,751648338RC0001
11834070 Canada Fondation,1183407-0,752655134RC0001
11835521 Canada Society,1183552-1,752470336RC0001
11849794 Canada Foundation,1184979-4,751163734RC0001
11867130 CANADA FOUNDATION,1186713-0,748701133RC0001
11872745 Canada Association,1187274-5,726821531RC0001
11877194 CANADA INSTITUTE,1187719-4,748731338RC0001
11883496 CANADA FONDATION,1188349-6,748329331RC0001
11893955 CANADA ASSOCIATION,1189395-5,747896074RC0001
11897195 CANADA CENTER,1189719-5,747133932RC0001
11908243 Canada Institute,1190824-3,746248533RC0001
11909606 Canada Association,1190960-6,746061738RC0001
11910418 CANADA FOUNDATION,1191041-8,746040534RC0001
11914472 Canada Society,1191447-2,746032879RC0001
11916343 CANADA SOCIETY,1191634-3,742955933RC0001
11916971 Canada Institute,1191697-1,745344333RC0001
11917587 Canada Association,1191758-7,745745877RC0001
11920545 Canada Foundation,1192054-5,745515676RC0001
11920901 CANADA INSTITUTE,1192090-1,745502070RC0001
11921118 CANADA CENTRE,1192111-8,744941931RC0001
11928023 Canada Center,1192802-3,741732135RC0001
11934821 Canada Foundation,1193482-1,744128075RC0001
11946056 Canada Society,1194605-6,742360472RC0001
11949055 CANADA CENTRE,1194905-5,742349079RC0001
11958631 CANADA INSTITUTE,1195863-1,741379531RC0001
11959433 CANADA FOUNDATION,1195943-3,741504674RC0001
11963104 CANADA FOUNDATION,1196310-4,739538932RC0001
11988174 CANADA ASSOCIATION,1198817-4,739514479RC0001
11989294 CANADA ASSOCIATION,1198929-4,739086130RC0001
11997068 Canada Association,1199706-8,738816677RC0001
11999028 CANADA FOUNDATION,1199902-8,738195130RC0001
FIDUCIE DU 12E REGIMENT BLINDÉ DU CANADA,271805-7,893260281RC0001
The Holocaust and WITS YESHIVA12,1400509-1,727729402RC0001
Y12Help Foundation,1461213-2,745951749RC0001
BAY12 Art Centers,1510259-6,708769948RC0001
WIC12,1516332-3,742131014RC0001
DRC No.12 Foundation,1654712-5,797458767RC0001
12:12 Faith Association,1685690-0,771133360RC0001
Studio 12:12,1695289-5,763398567RC0001
12003031 Canada Centre,1200303-1,737901876RC0001
12013746 Canada Association,1201374-6,736210535RC0001
12022958 CANADA INSTITUTE,1202295-8,736812330RC0001
12025388 CANADA FOUNDATION,1202538-8,736893470RC0001
12026406 CANADA ASSOCIATION,1202640-6,736518135RC0001
12053683 Canada Foundation,1205368-3,735164477RC0001
12056194 Canada Association,1205619-4,734942477RC0001
12057514 Canada Association,1205751-4,799925904RC0001
12065371 Canada Association,1206537-1,733875330RC0001
12066513 Canada Association,1206651-3,734095870RC0001
12067498 Canada Association,1206749-8,733963730RC0001
12075725 CANADA INSTITUTE,1207572-5,733491278RC0001
12078252 Canada Institute,1207825-2,733241871RC0001
12088576 Canada Association,1208857-6,732598073RC0001
12095700 CANADA FONDATION,1209570-0,732061270RC0001
12101530 Canada Foundation,1210153-0,731419131RC0001
12107864 CANADA FOUNDATION,1210786-4,730723335RC0001
12108500 CANADA CENTER,1210850-0,731051678RC0001
12109476 CANADA FOUNDATION,1210947-6,730468931RC0001
12110598 CANADA FOUNDATION,1211059-8,725958672RC0001
12117851 CANADA ASSOCIATION,1211785-1,725603070RC0001
12125684 CANADA FOUNDATION,1212568-4,729392472RC0001
12129949 CANADA ASSOCIATION,1212994-9,729238477RC0001
12130343 CANADA ASSOCIATION,1213034-3,728967332RC0001
12154323 CANADA FOUNDATION,1215432-3,727316135RC0001
12155095 Canada Association,1215509-5,727208738RC0001
12167701 Canada Association,1216770-1,726327737RC0001
12174189 CANADA ASSOCIATION,1217418-9,725827679RC0001
12180618 Canada Society,1218061-8,725407076RC0001
12182718 CANADA FOUNDATION,1218271-8,725372478RC0001
12184826 Canada Foundation,1218482-6,724590138RC0001
12188961 Canada Institute,1218896-1,724615075RC0001
12221071 CANADA CENTER,1222107-1,722031879RC0001
12225077 Canada Foundation,1222507-7,721152478RC0001
12225727 Canada Institut,1222572-7,721616134RC0001
12228572 CANADA ASSOCIATION,1222857-2,721366532RC0001
12235943 CANADA INSTITUT,1223594-3,720480276RC0001
12242362 Canada Association,1224236-2,719945131RC0001
12248531 Canada Foundation,1224853-1,719592131RC0001
12251027 CANADA ASSOCIATION,1225102-7,719410532RC0001
12252805 Canada Institute,1225280-5,718985674RC0001
12276925 Canada Center,1227692-5,717210876RC0001
12281376 CANADA FOUNDATION,1228137-6,717022735RC0001
12284120 CANADA FOUNDATION,1228412-0,716826730RC0001
12290529 CANADA CENTRE,1229052-9,716279732RC0001
123 TORONTO,934247-8,816183560RC0001
Francais 123 French,1485416-1,761787019RC0001
12300397 CANADA INSTITUTE,1230039-7,713696136RC0001
12308819 Canada Fondation,1230881-9,714548278RC0001
12314673 CANADA CENTER,1231467-3,714104130RC0001
12316528 Canada Foundation,1231652-8,713925873RC0001
12318164 Canada Association,1231816-4,713858074RC0001
12329484 Canada Foundation,1232948-4,712991876RC0001
12329689 CANADA INSTITUTE,1232968-9,713240331RC0001
12337851 Canada Institut,1233785-1,712659531RC0001
12344513 CANADA FOUNDATION,1234451-3,711715870RC0001
12346133 Canada Association,1234613-3,711339333RC0001
12346290 Canada Association,1234629-0,711338335RC0001
12346834 Canada Association,1234683-4,711849133RC0001
12354799 CANADA ASSOCIATION,1235479-9,711049072RC0001
12355108 CANADA ASSOCIATION,1235510-8,711048074RC0001
Ambassade AADA 1236,1245253-7,703440677RC0001
12368331 CANADA ASSOCIATION,1236833-1,710225137RC0001
12381486 Canada Centre,1238148-6,709235535RC0001
12384388 Canada Association,1238438-8,Not Available
12384426 Canada Association,1238442-6,859421166RC0001
12389576 CANADA SOCIETY,1238957-6,791299944RC0001
124 Youth Leadership,1598182-4,741290555RC0001
12400103 CANADA SOCIETY,1240010-3,707787735RC0001
12409755 CANADA FOUNDATION,1240975-5,707187936RC0001
12412403 Canada Foundation,1241240-3,707212536RC0001
12413981 Canada Centre,1241398-1,791498660RC0001
12423987 Canada Fondation,1242398-7,705576874RC0001
12424606 CANADA ASSOCIATION,1242460-6,705188530RC0001
12426633 CANADA ASSOCIATION,1242663-3,705359479RC0001
12429861 CANADA ASSOCIATION,1242986-1,797003142RC0001
12434067 Canada Institute,1243406-7,705050474RC0001
12434075 Canada Society,1243407-5,705524932RC0001
12435560 Canada Foundation,1243556-0,705257137RC0001
12445182 CANADA FOUNDATION,1244518-2,704136670RC0001
124678 Association Canada Inc.,159506-7,Not Available
12483998 Canada Association,1248399-8,701431934RC0001
12484838 CANADA ASSOCIATION,1248483-8,700936677RC0001
12485222 Canada Association,1248522-2,701157331RC0001
12489252 CANADA ASSOCIATION,1248925-2,799458948RC0001
12490587 Canada Centre,1249058-7,700185077RC0001
12490625 Canada Institute,1249062-5,700857535RC0001
12490749 Canada Foundation,1249074-9,700857337RC0001
12496879 Canada Association,1249687-9,799593546RC0001
12515474 CANADA INSTITUTE,1251547-4,798188868RC0001
12517230 Canada Centre,1251723-0,798040143RC0001
125195 CANADA ASSOCIATION INC.,148940-2,875612269RC0001
12527154 Canada Foundation,1252715-4,797088861RC0001
12530457 Canada Foundation,1253045-7,796972065RC0001
12531119 CANADA FONDATION,1253111-9,797035946RC0001
12531810 CANADA INSTITUTE,1253181-0,797029543RC0001
12540886 Canada Center,1254088-6,796274348RC0001
12549638 Canada Association,1254963-8,795536549RC0001
12557258 CANADA ASSOCIATION,1255725-8,794916148RC0001
12557878 CANADA ASSOCIATION,1255787-8,794845941RC0001
12562529 CANADA ASSOCIATION,1256252-9,792095267RC0001
12566028 CANADA ASSOCIATION,1256602-8,793876665RC0001
12570670 CANADA ASSOCIATION,1257067-0,793240060RC0001
12570777 CANADA FONDATION,1257077-7,793733544RC0001
12575019 Canada Center,1257501-9,793343542RC0001
12575663 CANADA ASSOCIATION,1257566-3,793209263RC0001
12580209 CANADA FONDATION,1258020-9,792756264RC0001
12580748 CANADA ASSOCIATION,1258074-8,792885147RC0001
12585715 Canada Foundation,1258571-5,792539140RC0001
12588137 Canada Foundation,1258813-7,792287062RC0001
12589443 Canada Fondation,1258944-3,792203945RC0001
12596237 CANADA ASSOCIATION,1259623-7,790875868RC0001
12598167 Canada Centre,1259816-7,790986541RC0001
12599449 CANADA ASSOCIATION,1259944-9,791447949RC0001
12602776 Canada Association,1260277-6,791046147RC0001
12609037 Canada Society,1260903-7,790948145RC0001
12614413 CANADA SOCIETY,1261441-3,790490866RC0001
12617994 CANADA FOUNDATION,1261799-4,790111744RC0001
12619598 CANADA ASSOCIATION,1261959-8,789729068RC0001
12621665 Canada Association,1262166-5,790604946RC0001
12629453 Canada Centre,1262945-3,788987063RC0001
12631296 Canada Foundation,1263129-6,788409340RC0001
12635593 Canada Association,1263559-3,788919264RC0001
12635658 Canada Centre,1263565-8,789091741RC0001
12638827 CANADA FOUNDATION,1263882-7,789044542RC0001
12639203 CANADA ASSOCIATION,1263920-3,788758068RC0001
12647516 CANADA INSTITUTE,1264751-6,788079069RC0001
12656299 Canada Association,1265629-9,786971861RC0001
12660393 Canada Institute,1266039-3,786965749RC0001
12662906 CANADA SOCIETY,1266290-6,786555268RC0001
12667479 CANADA FOUNDATION,1266747-9,786184143RC0001
12668548 CANADA CENTRE,1266854-8,786403741RC0001
12675609 CANADA ASSOCIATION,1267560-9,784480949RC0001
12679779 Canada Foundation,1267977-9,785090861RC0001
12689502 CANADA FOUNDATION,1268950-2,784803660RC0001
12694719 CANADA ASSOCIATION,1269471-9,784020141RC0001
12695995 CANADA FOUNDATION,1269599-5,784111742RC0001
12698455 CANADA INSTITUTE,1269845-5,783827744RC0001
12698749 Canada Society,1269874-9,784054744RC0001
12701782 CANADA ASSOCIATION,1270178-2,783013865RC0001
12704391 Canada Association,1270439-1,783514342RC0001
12709481 CANADA ASSOCIATION,1270948-1,783627144RC0001
12711583 Canada Association,1271158-3,782514541RC0001
12715139 CANADA SOCIETY,1271513-9,782496467RC0001
12717255 Canada Association,1271725-5,777571464RC0001
12731045 Canada Centre,1273104-5,782163141RC0001
12731266 Canada Foundation,1273126-6,781578661RC0001
12734087 CANADA CENTRE,1273408-7,781321468RC0001
12736772 Canada Foundation,1273677-2,780954467RC0001
12738325 Canada Association,1273832-5,780964268RC0001
12741539 Canada Institute,1274153-9,781295340RC0001
12744783 CANADA SOCIETY,1274478-3,780425948RC0001
